fuente,contenido,texto_limpio
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en inicial 3 años para Sofia. Gracias.</b></p>,saber si hay disponibilidad de ingreso en inicial 3 anos para sofia gracias
WhatsApp,<p><b>Hola hay espacios para inicial 4 años? Mi niño se llama Pedro.</b></p>,hola hay espacios para inicial 4 anos mi nino se llama pedro
WhatsApp,Hola hay cupos para primer grado? Mi niño se llama Ana.,hola hay cupos para primer grado mi nino se llama ana
WhatsApp,Saber si hay espacios en inicial 4 años para Juan. Gracias.,saber si hay espacios en inicial 4 anos para juan gracias
Web,REUNIÓN DE ADMISION PARA 1ERO SECUNDARIA. MI MENOR ES MARIA.,reunion de admision para 1ero secundaria mi menor es maria
Web,CHARLAS DE ADMISION PARA 1ERO PRIMARIA. MI MENOR ES ELENA.,charlas de admision para 1ero primaria mi menor es elena
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA INICIAL 4 AÑOS. ATTE: LUIS.,solicito informacion de cuotas y detalles para inicial 4 anos atte luis
WhatsApp,<p><b>Saber si hay lugares en 6to primaria para Sofia. Gracias.</b></p>,saber si hay lugares en 6to primaria para sofia gracias
Web,<p><b>cronograma de admision para 1ero primaria. Mi menor es Camila.</b></p>,cronograma de admision para 1ero primaria mi menor es camila
WhatsApp,Saber si hay cupos en inicial 5 años para Juan. Gracias.,saber si hay cupos en inicial 5 anos para juan gracias
Web,requisitos para traslado a secundaria. Postulante: Valentina.,requisitos para traslado a secundaria postulante valentina
Web,charlas de admision para inicial 5 años. Mi menor es Valentina.,charlas de admision para inicial 5 anos mi menor es valentina
Web,FICHA DE MATRÍCULA PARA TRASLADO A 5TO SECUNDARIA. POSTULANTE: PEDRO.,ficha de matricula para traslado a 5to secundaria postulante pedro
Web,cronograma de admision para inicial 3 años. Mi menor es Camila.,cronograma de admision para inicial 3 anos mi menor es camila
Web,ficha de matrícula para traslado a inicial 3 años. Postulante: Sofia.,ficha de matricula para traslado a inicial 3 anos postulante sofia
