fuente,contenido,texto_limpio,label_sugerida
Web,Requisitos para traslado a inicial 5 años. Postulante: Sebastian.,requisitos para traslado a inicial 5 años postulante sebastian,ADMIS_REQUIS_DOC
Web,Cronograma de admision y charlas para inicial 4 años.,cronograma de admision y charlas para inicial 4 años,ADMIS_CITAS
Web,Cronograma de admision y charlas para inicial 5 años.,cronograma de admision y charlas para inicial 5 años,ADMIS_CITAS
Email,Solicito información de pensiones y cuota de ingreso para 1ero primaria.,solicito información de pensiones y cuota de ingreso para 1ero primaria,ADMIS_COSTOS
Email,Solicito información de pensiones y cuota de ingreso para inicial 3 años.,solicito información de pensiones y cuota de ingreso para inicial 3 años,ADMIS_COSTOS
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE INICIAL 3 AÑOS PARA MI HIJO SOFIA.",estimados quisiera saber los precios de inicial 3 años para mi hijo sofia,ADMIS_COSTOS
Web,Requisitos para traslado a inicial 4 años. Postulante: Sebastian.,requisitos para traslado a inicial 4 años postulante sebastian,ADMIS_REQUIS_DOC
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Nicolas.,hola hay vacantes para inicial 5 años mi niño se llama nicolas,ADMIS_VACANTES
Web,Requisitos para traslado a 5to secundaria. Postulante: Mateo.,requisitos para traslado a 5to secundaria postulante mateo,ADMIS_REQUIS_DOC
WhatsApp,HOLA HAY VACANTES PARA INICIAL 5 AÑOS? MI NIÑO SE LLAMA LUCIA.,hola hay vacantes para inicial 5 años mi niño se llama lucia,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 5to secundaria para Camila. Gracias.,saber si hay cupos en 5to secundaria para camila gracias,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 4 años. Postulante: Lucia.,requisitos para traslado a inicial 4 años postulante lucia,ADMIS_REQUIS_DOC
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Thiago.,hola hay vacantes para 6to primaria mi niño se llama thiago,ADMIS_VACANTES
Email,<p><b>Solicito información de pensiones y cuota de ingreso para 6to primaria.</b></p>,solicito información de pensiones y cuota de ingreso para 6to primaria,ADMIS_COSTOS
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE 5TO SECUNDARIA PARA MI HIJO GABRIEL.",estimados quisiera saber los precios de 5to secundaria para mi hijo gabriel,ADMIS_COSTOS
Email,Solicito información de pensiones y cuota de ingreso para inicial 5 años.,solicito información de pensiones y cuota de ingreso para inicial 5 años,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Mateo.,hola hay vacantes para inicial 4 años mi niño se llama mateo,ADMIS_VACANTES
