fuente,contenido,texto_limpio,label_sugerida,texto_preprocesado
Email,"Estimados, quisiera saber los cuotas de inicial 5 años para mi hijo Luis.",estimados quisiera saber los cuotas de inicial 5 años para mi hijo luis,ADMIS_COSTOS,estimado querer cuota inicial año hijo luis
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA PRIMER AÑO. ATTE: NICOLAS.,solicito información de precios y detalles para primer año atte nicolas,ADMIS_COSTOS,solicitar información precio detalle año attar nicola
Email,Solicito información de cuotas y detalles para 1ero primaria. Atte: Lucia.,solicito información de cuotas y detalles para 1ero primaria atte lucia,ADMIS_COSTOS,solicitar información cuota detalle 1ero primario attar lucia
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Pedro.,hola hay espacios para inicial 5 años mi niño se llama pedro,ADMIS_VACANTES,holar espacio inicial año niño llamar pedro
WhatsApp,SABER SI HAY CUPOS EN PRIMER GRADO PARA MATEO. GRACIAS.,saber si hay cupos en primer grado para mateo gracias,ADMIS_VACANTES,cupo grado mateo gracias
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Thiago.,hola hay disponibilidad de ingreso para 5to secundaria mi niño se llama thiago,ADMIS_VACANTES,holar disponibilidad ingreso 5to secundario niño llamar thiago
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Valentina.",estimados quisiera saber los precios de inicial 3 años para mi hijo valentina,ADMIS_COSTOS,estimado querer precio inicial año hijo valentín
Web,documentación para traslado a inicial 5 años. Postulante: Nicolas.,documentación para traslado a inicial 5 años postulante nicolas,ADMIS_REQUIS_DOC,documentación traslado inicial año postulante nico él
WhatsApp,Saber si hay espacios en 5to secundaria para Sebastian. Gracias.,saber si hay espacios en 5to secundaria para sebastian gracias,ADMIS_VACANTES,espacio 5to secundario sebastiar gracias
Web,cronograma de admision para primer año. Mi menor es Gabriel.,cronograma de admision para primer año mi menor es gabriel,ADMIS_CITAS,cronograma admision año menor gabriel
Web,ficha de matrícula para traslado a 1ero secundaria. Postulante: Thiago.,ficha de matrícula para traslado a 1ero secundaria postulante thiago,ADMIS_REQUIS_DOC,ficha matrícula traslado 1ero secundario postulante thiago
Web,FICHA DE MATRÍCULA PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: ANA.,ficha de matrícula para traslado a 1ero primaria postulante ana,ADMIS_REQUIS_DOC,ficha matrícula traslado 1ero primaria postulante ana
WhatsApp,Hola hay cupos para primer año? Mi niño se llama Luis.,hola hay cupos para primer año mi niño se llama luis,ADMIS_VACANTES,holar cupo año niño llamar luis
Web,partidas para traslado a inicial 5 años. Postulante: Maria.,partidas para traslado a inicial 5 años postulante maria,ADMIS_REQUIS_DOC,partida traslado inicial año postulante mario
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE INICIAL 5 AÑOS PARA MI HIJO VALENTINA.",estimados quisiera saber los cuotas de inicial 5 años para mi hijo valentina,ADMIS_COSTOS,estimado querer cuota inicial año hijo valentín
WhatsApp,SABER SI HAY ESPACIOS EN 1ERO PRIMARIA PARA SEBASTIAN. GRACIAS.,saber si hay espacios en 1ero primaria para sebastian gracias,ADMIS_VACANTES,espacio 1ero primario sebastiar gracias
Web,<p><b>reunión de admision para 5to secundaria. Mi menor es Sofia.</b></p>,reunión de admision para 5to secundaria mi menor es sofia,OTROS,reunión admision 5to secundario menor sofia
Web,citas de admision para secundaria. Mi menor es Juan.,citas de admision para secundaria mi menor es juan,ADMIS_CITAS,cita admision secundario menor juan
WhatsApp,<p><b>Saber si hay cupos en primer grado para Elena. Gracias.</b></p>,saber si hay cupos en primer grado para elena gracias,ADMIS_VACANTES,cupo grado elena gracias
Email,Solicito información de mensualidad y detalles para inicial 4 años. Atte: Juan.,solicito información de mensualidad y detalles para inicial 4 años atte juan,ADMIS_COSTOS,solicitar información mensualidad detalle inicial año atte juan
WhatsApp,SABER SI HAY LUGARES EN 1ERO PRIMARIA PARA ANA. GRACIAS.,saber si hay lugares en 1ero primaria para ana gracias,ADMIS_VACANTES,lugar 1ero primario ana gracias
Web,charlas de admision para secundaria. Mi menor es Juan.,charlas de admision para secundaria mi menor es juan,ADMIS_CITAS,charla admision secundario menor juan
Web,cronograma de admision para secundaria. Mi menor es Gabriel.,cronograma de admision para secundaria mi menor es gabriel,ADMIS_CITAS,cronograma admision secundario menor gabriel
Email,"Estimados, quisiera saber los mensualidad de 5to secundaria para mi hijo Pedro.",estimados quisiera saber los mensualidad de 5to secundaria para mi hijo pedro,ADMIS_COSTOS,estimado querer mensualidad 5to secundario hijo pedro
Email,"Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Juan.",estimados quisiera saber los cuotas de 1ero secundaria para mi hijo juan,ADMIS_COSTOS,estimado querer cuota 1ero secundario hijo juan
WhatsApp,Hola hay disponibilidad de ingreso para 6to primaria? Mi niño se llama Mateo.,hola hay disponibilidad de ingreso para 6to primaria mi niño se llama mateo,ADMIS_VACANTES,holar disponibilidad ingreso 6to primario niño llamar mateo
Email,<p><b>Solicito información de precios y detalles para primer año. Atte: Lucia.</b></p>,solicito información de precios y detalles para primer año atte lucia,ADMIS_COSTOS,solicitar información precio detalle año attar lucia
WhatsApp,Saber si hay lugares en inicial 4 años para Gabriel. Gracias.,saber si hay lugares en inicial 4 años para gabriel gracias,ADMIS_VACANTES,lugar inicial año gabriel gracias
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN INICIAL 5 AÑOS PARA MARIA. GRACIAS.,saber si hay disponibilidad de ingreso en inicial 5 años para maria gracias,ADMIS_VACANTES,disponibilidad ingreso inicial año maria gracias
Web,reunión de admision para 1ero primaria. Mi menor es Camila.,reunión de admision para 1ero primaria mi menor es camila,OTROS,reunión admision 1ero primario menor camila
WhatsApp,<p><b>Hola hay lugares para 6to primaria? Mi niño se llama Lucia.</b></p>,hola hay lugares para 6to primaria mi niño se llama lucia,ADMIS_VACANTES,holar lugar 6to primaria niño llamar lucia
Web,partidas para traslado a 5to secundaria. Postulante: Nicolas.,partidas para traslado a 5to secundaria postulante nicolas,ADMIS_REQUIS_DOC,partida traslado 5to secundario postulante nicola
Email,"<p><b>Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Luis.</b></p>",estimados quisiera saber los pensiones de 5to secundaria para mi hijo luis,ADMIS_COSTOS,estimado querer pensión 5to secundario hijo luis
Web,documentación para traslado a inicial 4 años. Postulante: Camila.,documentación para traslado a inicial 4 años postulante camila,ADMIS_REQUIS_DOC,documentación traslado inicial año postulante camilar
