fuente,contenido
Email,"Estimados, quisiera saber los cuotas de inicial 5 años para mi hijo Luis."
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA PRIMER AÑO. ATTE: NICOLAS.
Email,Solicito información de cuotas y detalles para 1ero primaria. Atte: Lucia.
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Pedro.
WhatsApp,SABER SI HAY CUPOS EN PRIMER GRADO PARA MATEO. GRACIAS.
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Thiago.
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Valentina."
Web,documentación para traslado a inicial 5 años. Postulante: Nicolas.
WhatsApp,Saber si hay espacios en 5to secundaria para Sebastian. Gracias.
Web,cronograma de admision para primer año. Mi menor es Gabriel.
Web,ficha de matrícula para traslado a 1ero secundaria. Postulante: Thiago.
Web,FICHA DE MATRÍCULA PARA TRASLADO A 1ERO PRIMARIA. POSTULANTE: ANA.
WhatsApp,Hola hay cupos para primer año? Mi niño se llama Luis.
Web,partidas para traslado a inicial 5 años. Postulante: Maria.
Email,"ESTIMADOS, QUISIERA SABER LOS CUOTAS DE INICIAL 5 AÑOS PARA MI HIJO VALENTINA."
WhatsApp,SABER SI HAY ESPACIOS EN 1ERO PRIMARIA PARA SEBASTIAN. GRACIAS.
Web,<p><b>reunión de admision para 5to secundaria. Mi menor es Sofia.</b></p>
Web,citas de admision para secundaria. Mi menor es Juan.
WhatsApp,<p><b>Saber si hay cupos en primer grado para Elena. Gracias.</b></p>
Email,Solicito información de mensualidad y detalles para inicial 4 años. Atte: Juan.
WhatsApp,SABER SI HAY LUGARES EN 1ERO PRIMARIA PARA ANA. GRACIAS.
Web,charlas de admision para secundaria. Mi menor es Juan.
Web,cronograma de admision para secundaria. Mi menor es Gabriel.
Email,"Estimados, quisiera saber los mensualidad de 5to secundaria para mi hijo Pedro."
Email,"Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Juan."
WhatsApp,Hola hay disponibilidad de ingreso para 6to primaria? Mi niño se llama Mateo.
Email,<p><b>Solicito información de precios y detalles para primer año. Atte: Lucia.</b></p>
WhatsApp,Saber si hay lugares en inicial 4 años para Gabriel. Gracias.
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN INICIAL 5 AÑOS PARA MARIA. GRACIAS.
Web,reunión de admision para 1ero primaria. Mi menor es Camila.
WhatsApp,<p><b>Hola hay lugares para 6to primaria? Mi niño se llama Lucia.</b></p>
Web,partidas para traslado a 5to secundaria. Postulante: Nicolas.
Email,"<p><b>Estimados, quisiera saber los pensiones de 5to secundaria para mi hijo Luis.</b></p>"
Web,documentación para traslado a inicial 4 años. Postulante: Camila.
WhatsApp,HOLA HAY CUPOS PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA VALENTINA.
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Nicolas.
WhatsApp,Hola hay lugares para 1ero primaria? Mi niño se llama Mateo.
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en 1ero secundaria para Camila. Gracias.</b></p>
Email,"Estimados, quisiera saber los costos de inicial 3 años para mi hijo Luis."
Email,Solicito información de mensualidad y detalles para 5to secundaria. Atte: Nicolas.
WhatsApp,Saber si hay espacios en inicial 3 años para Nicolas. Gracias.
WhatsApp,<p><b>Hola hay espacios para 5to secundaria? Mi niño se llama Lucia.</b></p>
Web,papeles para traslado a 5to secundaria. Postulante: Camila.
WhatsApp,Saber si hay lugares en 1ero primaria para Gabriel. Gracias.
Email,"Estimados, quisiera saber los pagos de primer año para mi hijo Camila."
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Luis.
Email,<p><b>Solicito información de precios y detalles para 5to secundaria. Atte: Pedro.</b></p>
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA INICIAL 3 AÑOS. ATTE: ANA.
Email,Solicito información de mensualidad y detalles para 1ero secundaria. Atte: Sebastian.
Email,Solicito información de precios y detalles para secundaria. Atte: Valentina.
Web,documentación para traslado a primer año. Postulante: Sebastian.
WhatsApp,Saber si hay vacantes en primer grado para Juan. Gracias.
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Mateo.
WhatsApp,Saber si hay vacantes en 1ero primaria para Ana. Gracias.
Web,partidas para traslado a primer grado. Postulante: Gabriel.
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA 6TO PRIMARIA. ATTE: ANA.
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Juan.
WhatsApp,Saber si hay cupos en 1ero secundaria para Sebastian. Gracias.
WhatsApp,Hola hay lugares para inicial 3 años? Mi niño se llama Lucia.
WhatsApp,Saber si hay espacios en inicial 5 años para Camila. Gracias.
WhatsApp,<p><b>Hola hay lugares para primer grado? Mi niño se llama Lucia.</b></p>
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA PRIMER GRADO? MI NIÑO SE LLAMA LUCIA.
Email,Solicito información de precios y detalles para 1ero secundaria. Atte: Luis.
Web,<p><b>ficha de matrícula para traslado a inicial 4 años. Postulante: Maria.</b></p>
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE INICIAL 4 AÑOS PARA MI HIJO VALENTINA."
Web,<p><b>documentación para traslado a inicial 5 años. Postulante: Juan.</b></p>
Web,PAPELES PARA TRASLADO A 6TO PRIMARIA. POSTULANTE: GABRIEL.
Web,<p><b>cronograma de admision para 5to secundaria. Mi menor es Mateo.</b></p>
Web,documentación para traslado a 1ero secundaria. Postulante: Camila.
Email,"Estimados, quisiera saber los costos de 5to secundaria para mi hijo Camila."
Web,cronograma de admision para inicial 5 años. Mi menor es Lucia.
Email,"Estimados, quisiera saber los pensiones de primer grado para mi hijo Ana."
Email,<p><b>Solicito información de cuotas y detalles para inicial 4 años. Atte: Valentina.</b></p>
WhatsApp,<p><b>Hola hay espacios para inicial 3 años? Mi niño se llama Maria.</b></p>
WhatsApp,HOLA HAY VACANTES PARA SECUNDARIA? MI NIÑO SE LLAMA SOFIA.
Web,<p><b>reunión de admision para primer año. Mi menor es Nicolas.</b></p>
WhatsApp,<p><b>Hola hay vacantes para primer año? Mi niño se llama Gabriel.</b></p>
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Gabriel."
WhatsApp,SABER SI HAY CUPOS EN INICIAL 3 AÑOS PARA ANA. GRACIAS.
Email,"<p><b>Estimados, quisiera saber los precios de 5to secundaria para mi hijo Ana.</b></p>"
WhatsApp,HOLA HAY VACANTES PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA GABRIEL.
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Maria."
WhatsApp,HOLA HAY LUGARES PARA PRIMER GRADO? MI NIÑO SE LLAMA VALENTINA.
Web,ficha de matrícula para traslado a primer grado. Postulante: Luis.
Web,REQUISITOS PARA TRASLADO A INICIAL 5 AÑOS. POSTULANTE: ELENA.
WhatsApp,Saber si hay cupos en 1ero secundaria para Elena. Gracias.
WhatsApp,Hola hay espacios para inicial 4 años? Mi niño se llama Sebastian.
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Elena.
